"";"Lineage_Name";"parasiteGenus";"order";"family";"genus";"species";"continent";"country";"region";"site";"strategy_3";"distance_4";"Body_mass";"Territoriality";"Range_Size";"LocID";"ParasiteID";"Latitude";"Longitude"
"120";"AFR022";"Plasmodium";"Passeriformes";"Malaconotidae";"Malaconotus";"Malaconotus_blanchoti";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.895974732";"strong";827;"Loc 43";"Parasite 48";"-11.13";"33.65"
"121";"AFR022";"Plasmodium";"Passeriformes";"Estrildidae";"Estrilda";"Estrilda_melanotis";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"0.81358098899999998";"weak";63;"Loc 42";"Parasite 48";"-10.58";"33.80"
"122";"AFR025";"Haemoproteus";"Passeriformes";"Estrildidae";"Lonchura";"Lonchura_cucullata";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"0.95375969199999999";"weak";980;"Loc 43";"Parasite 49";"-11.13";"33.65"
"123";"AFR025";"Haemoproteus";"Passeriformes";"Estrildidae";"Cryptospiza";"Cryptospiza_reichenovii";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.093421685";"weak";95;"Loc 42";"Parasite 49";"-10.58";"33.80"
"124";"AFR025";"Haemoproteus";"Passeriformes";"Muscicapidae";"Pogonocichla";"Pogonocichla_stellata";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.2695129439999999";"strong";180;"Loc 42";"Parasite 49";"-10.58";"33.80"
"125";"AFR025";"Haemoproteus";"Passeriformes";"Fringillidae";"Chlorophanes";"Chlorophanes_spiza";"South America";"Peru";"";"Rio Verde";"resident";"resident";"1.278753601";"none";802;"Loc 31";"Parasite 49";"-6.72";"-77.42"
"126";"AFR025";"Haemoproteus";"Passeriformes";"Fringillidae";"Chlorophanes";"Chlorophanes_spiza";"South America";"Peru";"";"Community_3";"resident";"resident";"1.278753601";"none";802;"Loc 32";"Parasite 49";"-6.72";"-77.42"
"127";"AFR026";"Plasmodium";"Passeriformes";"Cisticolidae";"Cisticola";"Cisticola_erythrops";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.169380495";"strong";775;"Loc 43";"Parasite 50";"-11.13";"33.65"
"128";"AFR028";"Plasmodium";"Passeriformes";"Ploceidae";"Ploceus";"Ploceus_baglafecht";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.499687083";"none";208;"Loc 42";"Parasite 51";"-10.58";"33.80"
"129";"AFR028";"Plasmodium";"Passeriformes";"Fringillidae";"Serinus";"Serinus_striolatus";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.350248018";"weak";92;"Loc 42";"Parasite 51";"-10.58";"33.80"
"130";"AFR028";"Plasmodium";"Passeriformes";"Fringillidae";"Serinus";"Serinus_striolatus";"Africa";"Malawi";"Rumphi (Rumpil)";"Nyika National Park";"resident";"resident";"1.350248018";"weak";92;"Loc 42";"Parasite 51";"-10.58";"33.80"
"131";"AFR028";"Plasmodium";"Passeriformes";"Platysteiridae";"Batis";"Batis_molitor";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.06595298";"strong";469;"Loc 43";"Parasite 51";"-11.13";"33.65"
"132";"AFR028";"Plasmodium";"Passeriformes";"Fringillidae";"Chlorophanes";"Chlorophanes_spiza";"South America";"Peru";"";"Rio Verde";"resident";"resident";"1.278753601";"none";802;"Loc 31";"Parasite 51";"-6.72";"-77.42"
"133";"AFR028";"Plasmodium";"Passeriformes";"Fringillidae";"Chlorophanes";"Chlorophanes_spiza";"South America";"Peru";"";"Community_3";"resident";"resident";"1.278753601";"none";802;"Loc 32";"Parasite 51";"-6.72";"-77.42"
"134";"AFR029";"Haemoproteus";"Passeriformes";"Ploceidae";"Quelea";"Quelea_quelea";"Africa";"Malawi";"Rumphi (Rumpil)";"Vwaza Wildlife Reserve";"resident";"resident";"1.2692793899999999";"weak";1025;"Loc 43";"Parasite 52";"-11.13";"33.65"
